time,mousex,mousey,inittarget,harvtarget,intrial,targetx,targety,blockvar
8041,514,350,0,0,0,720,400,1
8053,514,350,0,0,0,720,400,1
8067,514,350,0,0,0,720,400,1
8082,514,350,0,0,0,720,400,1
8094,514,350,0,0,0,720,400,1
8108,514,350,0,0,0,720,400,1
8121,514,350,0,0,0,720,400,1
8135,514,350,0,0,0,720,400,1
8146,514,350,0,0,0,720,400,1
8161,514,350,0,0,0,720,400,1
8173,514,350,0,0,0,720,400,1
8187,514,350,0,0,0,720,400,1
8201,514,350,0,0,0,720,400,1
8215,514,350,0,0,0,720,400,1
8228,514,350,0,0,0,720,400,1
8240,514,350,0,0,0,720,400,1
8254,514,350,0,0,0,720,400,1
8268,514,350,0,0,0,720,400,1
8280,514,350,0,0,0,720,400,1
8294,514,350,0,0,0,720,400,1
8308,514,350,0,0,0,720,400,1
8321,514,350,0,0,0,720,400,1
8335,514,350,0,0,0,720,400,1
8349,514,350,0,0,0,720,400,1
8361,514,350,0,0,0,720,400,1
8374,514,350,0,0,0,720,400,1
8389,514,350,0,0,0,720,400,1
8403,514,350,0,0,0,720,400,1
8419,515,350,0,0,0,720,400,1
8435,517,350,0,0,0,720,400,1
8450,560,373,0,0,0,720,400,1
8462,605,408,0,0,0,720,400,1
8478,605,408,0,0,0,720,400,1
8492,638,441,0,0,0,720,400,1
8509,675,488,0,0,0,720,400,1
8525,695,519,0,0,0,720,400,1
8542,710,549,0,0,0,720,400,1
8557,715,565,1,0,0,720,400,1
8575,719,583,1,0,0,720,400,1
8591,719,586,1,0,0,720,400,1
8607,720,590,1,0,0,720,400,1
8623,720,591,1,0,0,720,400,1
8646,720,592,1,0,0,720,400,1
8661,720,592,1,0,0,720,400,1
8675,720,594,1,0,0,720,400,1
8689,720,594,1,0,0,720,400,1
8705,720,595,1,0,0,720,400,1
8720,720,596,1,0,0,720,400,1
8735,721,598,1,0,0,720,400,1
8753,723,599,1,0,0,720,400,1
8772,724,600,1,0,0,720,400,1
8788,724,600,1,0,0,720,400,1
8807,725,601,1,0,0,720,400,1
8828,726,603,1,0,0,720,400,1
8845,728,605,1,0,0,720,400,1
8906,729,608,1,0,0,720,400,1
8936,733,612,1,0,0,720,400,1
8951,733,612,1,0,0,720,400,1
8964,733,612,1,0,0,720,400,1
8978,733,612,1,0,0,720,400,1
8993,733,612,1,0,0,720,400,1
9007,733,612,1,0,0,720,400,1
9020,733,612,1,0,0,720,400,1
9033,733,612,1,0,0,720,400,1
9048,733,612,1,0,0,720,400,1
9062,733,612,1,0,0,720,400,1
9075,733,612,1,0,0,720,400,1
9089,733,612,1,0,0,720,400,1
9104,733,612,1,0,0,720,400,1
9117,733,612,1,0,0,720,400,1
9130,733,612,1,0,0,720,400,1
9144,733,612,1,0,0,720,400,1
9157,733,612,1,0,0,720,400,1
9171,733,612,1,0,0,720,400,1
9184,733,612,1,0,0,720,400,1
9199,733,612,1,0,0,720,400,1
9210,733,612,1,0,0,720,400,1
9227,733,612,1,0,0,720,400,1
9239,733,612,1,0,0,720,400,1
9252,733,612,1,0,0,720,400,1
9265,733,612,1,0,0,720,400,1
9279,733,612,1,0,0,720,400,1
9291,733,612,1,0,0,720,400,1
9306,733,612,1,0,0,720,400,1
9320,733,612,1,0,0,720,400,1
9335,733,612,1,0,0,720,400,1
9353,733,612,1,0,0,720,400,1
9367,733,612,1,0,0,720,400,1
9379,733,612,1,0,0,720,400,1
9397,733,612,1,0,0,720,400,1
9408,733,612,1,0,0,720,400,1
9424,733,612,1,0,0,720,400,1
9439,733,612,1,0,0,720,400,1
9453,733,612,1,0,0,720,400,1
9467,733,612,1,0,0,720,400,1
9488,733,612,1,0,0,720,400,1
9502,733,612,1,0,0,720,400,1
9517,733,612,1,0,0,720,400,1
9529,733,612,1,0,0,720,400,1
9543,733,612,1,0,0,720,400,1
9559,733,612,1,0,0,720,400,1
9579,733,612,1,0,0,720,400,1
9590,733,612,1,0,0,720,400,1
9605,733,612,1,0,0,720,400,1
9622,733,612,1,0,0,720,400,1
9636,733,612,1,0,0,720,400,1
9649,733,612,1,0,0,720,400,1
9663,733,612,1,0,0,720,400,1
9676,733,612,1,0,0,720,400,1
9690,733,612,1,0,0,720,400,1
9704,733,612,1,0,0,720,400,1
9717,733,612,1,0,0,720,400,1
9732,733,612,1,0,0,720,400,1
9751,733,612,1,0,0,720,400,1
9768,733,612,1,0,0,720,400,1
9783,733,612,1,0,0,720,400,1
9800,733,612,1,0,0,720,400,1
9814,733,612,1,0,0,720,400,1
9851,733,612,1,0,0,720,400,1
9867,733,612,1,0,0,720,400,1
9881,733,612,1,0,0,720,400,1
9894,733,612,1,0,0,720,400,1
9908,733,612,1,0,0,720,400,1
9925,733,612,1,0,0,720,400,1
9938,733,612,1,0,0,720,400,1
9951,733,612,1,0,0,720,400,1
9973,733,612,1,0,0,720,400,1
9988,733,612,1,0,0,720,400,1
10001,733,612,1,0,0,720,400,1
10015,733,612,1,0,0,720,400,1
10035,733,612,1,0,1,720,400,1
10050,733,612,1,0,1,720,400,1
10070,733,612,1,0,1,720,400,1
10086,733,612,1,0,1,720,400,1
10097,733,612,1,0,1,720,400,1
